SEP=;
actual;predicted
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;NEGATIVE
LUNGE;NEGATIVE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
